index,id,name,description,group_id,group_description
0,QIT-01,Random sequence generation (selection bias),Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence,-1,-1
1,QIT-02,Allocation concealment (selection bias),Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment,-1,-1
2,QIT-05,Selective reporting (reporting bias),Reporting bias due to selective outcome reporting,-1,-1
3,QIT-06,Other bias,Bias due to problems not covered elsewhere in the table,-1,-1
4,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.01,Adherence measure
5,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.02,Patient outcome
6,QIT-09,Blinding of participants (performance bias),Blinding of patients/participants to study group,QIG-09.01,Adherence measure
7,QIT-09,Blinding of participants (performance bias),Blinding of patients/participants to study group,QIG-09.02,Patient outcome
8,QIT-10,Blinding of personnel (performance bias),Blinding of key study personnel to study group,QIG-10.01,Adherence measure
9,QIT-10,Blinding of personnel (performance bias),Blinding of key study personnel to study group,QIG-10.02,Patient outcome
10,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,Adherence measure
11,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.02,Patient outcome
12,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,All outcomes
13,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,All outcomes
14,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.01,All outcomes
15,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.01,All outcomes
16,QIT-01,Adequate sequence generation?,Was the allocation sequence adequately generated?,-1,-1
17,QIT-02,Allocation concealment?,Was allocation adequately concealed?,-1,-1
18,QIT-03,Blinding?,Was knowledge of the allocated interventions adequately prevented during the study?,QIG-03.01,All outcomes
19,QIT-04,Incomplete outcome data addressed?,Were incomplete outcome data adequately addressed?,QIG-04.01,All outcomes
20,QIT-07,Blinding of participant and personnel (performance and detection bias),-1,-1,-1
21,QIT-10,Blinding of outcome assessment,-1,-1,-1
22,QIT-11,Industry sponsorship bias,-1,-1,-1
23,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.01,all outcomes
24,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.01,all outcomes
25,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,all outcomes
26,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,Participants
27,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,Treating physicians
28,QIT-05,Free of selective reporting?,Are reports of the study free of suggestion of selective outcome reporting?,-1,-1
29,QIT-08,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-08.01,All outcomes
30,QIT-07,Other performance bias: surgeon experience of both implants,"Did the surgeons have prior experience of the operations they performed in the trial, prior to its commencement?",-1,-1
31,QIT-09,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-09.01,Clinically-assessed subjective outcomes
32,QIT-09,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-09.02,Participant-reported outcomes
33,QIT-09,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-09.03,Objective outcomes
34,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.03,All outcomes
35,QIT-06,Free of other bias?,Was the study apparently free of other problems that could put it at a high risk of bias?,-1,-1
36,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,of participants
37,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,of outcome assessors
38,QIT-07,Imbalance of outcome measures at baseline,-1,-1,-1
39,QIT-08,Comparability of intervention and control group characteristics at baseline,-1,-1,-1
40,QIT-09,Protection against contamination,-1,-1,-1
41,QIT-10,Selective recruitment of participants,-1,-1,-1
42,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.02,All outcomes
