index,review_code,title
0,CD000011,CD000011 v. 10.0 Interventions for enhancing medication adherence
1,CD000012,CD000012 v. 10.0 Alternative versus conventional institutional settings for birth
2,CD000024,CD000024 v. 9.1 Anticoagulants for acute ischaemic stroke
3,CD000025,CD000025 v. 10.0 Magnesium sulphate and other anticonvulsants for women with pre-eclampsia
4,CD000028,CD000028 v. 16.0 Pharmacotherapy for hypertension in adults 60 years or older
5,CD000029,CD000029 v. 9.19 Oral antiplatelet therapy for acute ischaemic stroke
6,CD000031,CD000031 v. 21.3 Antidepressants for smoking cessation
7,CD000033,CD000033 v. 9.12 Barbiturates for acute traumatic brain injury
8,CD000057,CD000057 v. 7.0 Clomiphene citrate for unexplained subfertility in women
9,CD000081,CD000081 v. 9.0 Selective versus routine use of episiotomy for vaginal birth
10,CD000084,CD000084 v. 8.0 External cephalic version for breech presentation before term
11,CD000093,CD000093 v. 9.200 Cephalomedullary nails versus extramedullary implants for extracapsular hip fractures in older adult
12,CD000099,CD000099 v. 7.139 Growth hormone for in vitro fertilisation (IVF)
13,CD000103,CD000103 v. 5.0 Haemodilution for acute ischaemic stroke
14,CD000110,CD000110 v. 7.0 Hospitalisation and bed rest for multiple pregnancy
15,CD000126,CD000126 v. 7.9 Local versus general anaesthesia for carotid endarterectomy
16,CD000146,CD000146 v. 22.0 Nicotine replacement therapy versus control for smoking cessation
17,CD000165,CD000165 v. 14.0 Physician advice for smoking cessation
18,CD000169,CD000169 v. 19.2 Drugs for preventing malaria in pregnant women in endemic areas any drug regimen versus placebo or 
19,CD000198,CD000198 v. 13.0 Support during pregnancy for women at increased risk of low birthweight babies
20,CD000208,CD000208 v. 12.0 Miscellaneous treatments for antipsychotic-induced tardive dyskinesia
21,CD000214,CD000214 v. 11.0 Training health professionals in smoking cessation
22,CD000227,CD000227 v. 12.1 Vitamin D and vitamin D analogues for preventing fractures in post-menopausal women and older men
23,CD000230,CD000230 v. 9.104 Zinc supplementation for improving pregnancy and infant outcome
24,CD000253,CD000253 v. 19.0 Antioxidant vitamin and mineral supplements for preventing age-related macular degeneration
25,CD000254,CD000254 v. 16.0 Antioxidant vitamin and mineral supplements for slowing the progression of age-related macular degen
26,CD000259,CD000259 v. 11.2 Audit and feedback effects on professional practice and healthcare outcomes
27,CD000265,CD000265 v. 15.0 Compression for venous leg ulcers
28,CD000280,CD000280 v. 8.0 Carbohydrate supplementation of human milk to promote growth in preterm infants
29,CD000307,CD000307 v. 10.0 Fluphenazine decanoate (depot) and enanthate for schizophrenia
30,CD000313,CD000313 v. 9.10 Discharge planning from hospital
31,CD000323,CD000323 v. 9.0 Swallowing therapy for dysphagia in acute and subacute stroke
32,CD000331,CD000331 v. 11.0 Epidural versus non-epidural or no analgesia for pain management in labour
33,CD000333,CD000333 v. 9.0 Exercise for preventing and treating osteoporosis in postmenopausal women
34,CD000360,CD000360 v. 10.0 Assisted reproductive technologies for male subfertility
35,CD000371,CD000371 v. 20.0 Public health deworming programmes for soil-transmitted helminths in children living in endemic area
36,CD000384,CD000384 v. 8.2 Length of hospitalisation for people with severe mental illness
37,CD000398,CD000398 v. 8.0 Nitric oxide donors (nitrates) L-arginine or nitric oxide synthase inhibitors for acute stroke
38,CD000422,CD000422 v. 8.0 Vaccines for preventing pneumococcal infection in adults
39,CD000425,CD000425 v. 9.0 Speech and language therapy for aphasia following stroke
40,CD000434,CD000434 v. 13.5 Interventions for treating proximal humeral fractures in adults
41,CD000478,CD000478 v. 7.0 Azathioprine and 6-mercaptopurine for maintenance of remission in ulcerative colitis
42,CD000490,CD000490 v. 8.0 Antibiotics for asymptomatic bacteriuria in pregnancy
43,CD000494,CD000494 v. 11.0 Prostaglandins for preventing postpartum haemorrhage
44,CD000515,CD000515 v. 7.0 Carotid artery stenting versus endarterectomy for treatment of carotid artery stenosis
45,CD000521,CD000521 v. 10.0 Anaesthesia for hip fracture surgery in adults
46,CD000526,CD000526 v. 8.2 Interventions for treating tuberculous pericarditis
47,CD000530,CD000530 v. 11.0 Echinacea for preventing and treating the common cold
48,CD000553,CD000553 v. 7.0 Portosystemic shunts versus endoscopic intervention with or without medical treatment for prevention
49,CD000567,CD000567 v. 16.12 Colloids versus crystalloids for fluid resuscitation in critically ill people
50,CD000934,CD000934 v. 9.0 Alternative versus standard packages of antenatal care for low-risk pregnancy
51,CD000963,CD000963 v. 9.3 Multidisciplinary biopsychosocial rehabilitation for chronic low back pain
52,CD000978,CD000978 v. 14.2 Interventions for preventing oral mucositis for patients with cancer receiving treatment
