index,review_index,study_id,study_name
0,0,STD-Apter-2011,Apter 2011
1,0,STD-Chung-2011,Chung 2011
2,0,STD-Costa-2008,Costa 2008
3,0,STD-Druss-2010,Druss 2010
4,0,STD-Duncan-2012,Duncan 2012
5,0,STD-Ellis-2012,Ellis 2012
6,0,STD-Evans-2010,Evans 2010
7,0,STD-Fisher-2011,Fisher 2011
8,0,STD-Gensichen-2009,Gensichen 2009
9,0,STD-Gray-2012,Gray 2012
10,0,STD-Heisler-2010,Heisler 2010
11,0,STD-Holstad-2011,Holstad 2011
12,0,STD-Janson-2009,Janson 2009
13,0,STD-Jarab-2012-a,Jarab 2012 a
14,0,STD-Johnson-2011,Johnson 2011
15,0,STD-Kimmel-2012,Kimmel 2012
16,0,STD-Klein-2009,Klein 2009
17,0,STD-Lester-2010,Lester 2010
18,0,STD-Morgado-2011,Morgado 2011
19,0,STD-Muniz-2010,Muniz 2010
20,0,STD-Nguyen-2008,Nguyen 2008
21,0,STD-Ogedegbe-2012,Ogedegbe 2012
22,0,STD-Okeke-2009,Okeke 2009
23,0,STD-Otsuki-2009,Otsuki 2009
24,0,STD-Powell-2010,Powell 2010
25,0,STD-Rubak-2011,Rubak 2011
26,0,STD-Sabin-2010,Sabin 2010
27,0,STD-Simoni-2009,Simoni 2009
28,0,STD-Simoni-2011,Simoni 2011
29,0,STD-Sirey-2010,Sirey 2010
30,0,STD-Solomon-2012,Solomon 2012
31,0,STD-Valenstein-2011,Valenstein 2011
32,0,STD-Wilson-2010,Wilson 2010
33,0,STD-Wu-2012,Wu 2012
34,0,STD-van-der-Meer-2009,van der Meer 2009
35,1,STD-Bernitz-2011,Bernitz 2011
36,2,STD-Liu-2020,Liu 2020
37,3,STD-Magpie-Trial-2002,Magpie Trial 2002
38,4,STD-EWPHBPE-1989,EWPHBPE 1989
39,4,STD-MRC_x002d_O-1992,MRC_x002d_O 1992
40,4,STD-MRC_x002d_TMH-1985,MRC_x002d_TMH 1985
41,5,STD-Zhao-2017,Zhao 2017
42,6,STD-Anthenelli-2016,Anthenelli 2016
43,6,STD-Brown-2007,Brown 2007
44,6,STD-Brown-2014,Brown 2014
45,6,STD-Cinciripini-2013,Cinciripini 2013
46,6,STD-Cinciripini-2018,Cinciripini 2018
47,6,STD-Cox-2012,Cox 2012
48,6,STD-Ebbert-2014,Ebbert 2014
